Timestamp,Event
2025-09-02 16:22:31,Drowsiness Detected (Eyes Closed)
2025-09-02 16:38:10,Drowsiness Detected (Eyes Closed)
2025-09-02 16:38:17,Drowsiness Detected (Eyes Closed)
2025-09-02 16:41:06,Drowsiness Detected (Eyes Closed)
2025-09-02 16:44:29,Drowsiness Detected (Eyes Closed)
2025-09-02 16:44:39,Drowsiness Detected (Eyes Closed)
2025-09-02 16:50:57,Phone Usage Detected
2025-09-02 16:51:09,Phone Usage Detected
2025-09-02 16:51:16,Drowsiness Detected (Eyes Closed)
2025-09-02 16:51:24,Phone Usage Detected
2025-09-02 16:51:33,Drowsiness Detected (Eyes Closed)
2025-09-02 16:51:38,Phone Usage Detected
2025-09-02 16:51:48,Drowsiness Detected (Eyes Closed)
2025-09-02 16:52:10,Drowsiness Detected (Eyes Closed)
2025-09-02 16:52:20,Drowsiness Detected (Eyes Closed)
2025-09-02 16:54:47,Drowsiness Detected (Eyes Closed)
2025-09-02 16:55:02,Phone Usage Detected
2025-09-03 22:37:28,Phone Usage Detected
2025-09-04 08:49:23,Seatbelt Not Fastened
2025-09-04 08:49:44,Phone Usage Detected
2025-09-04 11:35:56,Seatbelt Not Fastened
2025-09-04 17:38:03,Seatbelt Not Fastened
2025-09-04 17:38:14,Seatbelt Not Fastened
2025-09-04 17:38:39,Phone Usage Detected
2025-09-04 17:38:58,Phone Usage Detected
2025-09-04 17:39:24,Seatbelt Not Fastened
2025-09-09 09:32:19,Seatbelt Not Fastened
2025-09-09 09:33:43,Seatbelt Not Fastened
2025-09-09 09:33:49,Phone Usage Detected
2025-09-11 19:48:17,Phone Usage Detected
2025-09-11 19:49:28,Phone Usage Detected
2025-09-11 19:49:38,Phone Usage Detected
2025-09-11 19:49:56,Drowsiness Detected (Eyes Closed)
2025-09-11 19:50:35,Phone Usage Detected
